Bus,H_eff (s),IDI,Weak
0,24.6517,7.1755,
1,21.5702,6.2785,
2,21.5848,6.2828,
3,21.6933,6.3144,
4,21.6266,6.2949,
5,21.5264,6.2658,
6,21.7907,6.3427,
7,21.9162,6.3792,
8,24.6537,7.176,
9,22.0219,6.41,
10,21.8476,6.3592,
11,21.7639,6.3349,
12,21.9014,6.3749,
13,21.7108,6.3195,
14,21.3677,6.2196,
15,21.1776,6.1642,Yes
16,21.3252,6.2072,Yes
17,21.4314,6.2381,
18,21.5542,6.2739,
19,21.4979,6.2575,
20,20.7486,6.0394,Yes
21,19.7959,5.7621,Yes
22,20.6818,6.0199,Yes
23,21.1364,6.1522,Yes
24,20.9071,6.0855,Yes
25,21.3371,6.2107,
26,21.3584,6.2169,
27,21.4655,6.248,
28,21.5005,6.2582,
29,21.6195,6.2929,
30,14.7,4.2788,Yes
31,25.149,7.3202,
32,22.196,6.4607,
33,21.45,6.2435,
34,14.56,4.238,Yes
35,23.664,6.888,
36,15.312,4.4569,Yes
37,21.627,6.295,
38,35.88,10.4437,
